name,team,position,height,weight,age
Russell Branyan,SD,Outfielder,75.0,195.0,33.2
Mike Cameron,SD,Outfielder,74.0,200.0,36.14
Brian Giles,SD,Outfielder,70.0,205.0,38.11
Kevin Kouzmanoff,SD,Designated Hitter,73.0,200.0,27.6
Mike Thompson,SD,Starting Pitcher,76.0,200.0,28.31
Clay Hensley,SD,Starting Pitcher,71.0,190.0,29.5
Chris Young,SD,Starting Pitcher,82.0,250.0,29.77
Greg Maddux,SD,Starting Pitcher,72.0,185.0,42.88
Jake Peavy,SD,Starting Pitcher,73.0,180.0,27.75
Scott Cassidy,SD,Relief Pitcher,74.0,170.0,33.41
Scott Strickland,SD,Relief Pitcher,71.0,180.0,32.84
Scott Linebrink,SD,Relief Pitcher,75.0,208.0,32.57
Doug Brocail,SD,Relief Pitcher,77.0,235.0,41.79
Trevor Hoffman,SD,Relief Pitcher,72.0,215.0,41.38
Heath Bell,SD,Relief Pitcher,74.0,244.0,31.42
Royce Ring,SD,Relief Pitcher,72.0,220.0,28.19
Cla Meredith,SD,Relief Pitcher,73.0,185.0,25.74
Andrew Brown,SD,Relief Pitcher,78.0,230.0,28.03
Mike Adams,SD,Relief Pitcher,77.0,190.0,30.59
Justin Hampson,SD,Relief Pitcher,73.0,200.0,28.77
Kevin Cameron,SD,Relief Pitcher,73.0,180.0,29.21
Ryan Ketchner,SD,Relief Pitcher,73.0,190.0,26.87
Brian Schneider,WAS,Catcher,73.0,196.0,32.260000000000005
Jesus Flores,WAS,Catcher,73.0,180.0,24.34
Larry Broadway,WAS,First Baseman,76.0,230.0,28.2
Nick Johnson,WAS,First Baseman,75.0,224.0,30.45
Bernie Castro,WAS,Second Baseman,70.0,160.0,29.63
Josh Wilson,WAS,Shortstop,73.0,178.0,27.93
Cristian Guzman,WAS,Shortstop,72.0,205.0,30.94
Felipe Lopez,WAS,Shortstop,73.0,185.0,28.8
Ryan Zimmerman,WAS,Third Baseman,75.0,210.0,24.42
Nook Logan,WAS,Outfielder,74.0,180.0,29.26
Ryan Church,WAS,Outfielder,73.0,190.0,30.38
Kory Casto,WAS,Outfielder,73.0,200.0,27.23
Mike Restovich,WAS,Outfielder,76.0,257.0,30.16
Alex Escobar,WAS,Outfielder,73.0,190.0,30.48
Austin Kearns,WAS,Outfielder,75.0,220.0,28.78
Chris Snelling,WAS,Outfielder,70.0,165.0,27.24
Billy Traber,WAS,Starting Pitcher,77.0,205.0,29.45
Tim Redding,WAS,Starting Pitcher,72.0,200.0,31.05
John Patterson,WAS,Starting Pitcher,77.0,208.0,31.08
Shawn Hill,WAS,Starting Pitcher,74.0,185.0,27.84
Joel Hanrahan,WAS,Starting Pitcher,75.0,215.0,27.4
Mike O'Connor,WAS,Starting Pitcher,75.0,170.0,28.54
Emiliano Fruto,WAS,Relief Pitcher,75.0,235.0,24.73
Chris Schroder,WAS,Relief Pitcher,75.0,210.0,30.53
Brett Campbell,WAS,Relief Pitcher,72.0,170.0,27.37
Beltran Perez,WAS,Relief Pitcher,74.0,180.0,27.35
Levale Speigner,WAS,Relief Pitcher,71.0,170.0,28.43
Jason Bergmann,WAS,Relief Pitcher,76.0,190.0,27.43
Saul Rivera,WAS,Relief Pitcher,71.0,150.0,31.23
Chris Booker,WAS,Relief Pitcher,75.0,230.0,32.22
Micah Bowie,WAS,Relief Pitcher,76.0,203.0,34.3
Jon Rauch,WAS,Relief Pitcher,83.0,260.0,30.42
Jerome Williams,WAS,Relief Pitcher,75.0,246.0,27.24
Luis Ayala,WAS,Relief Pitcher,74.0,186.0,31.13
Ryan Wagner,WAS,Relief Pitcher,76.0,210.0,26.63
Chad Cordero,WAS,Relief Pitcher,72.0,198.0,26.95
Humberto Cota,PIT,Catcher,72.0,210.0,30.06
Ronny Paulino,PIT,Catcher,75.0,215.0,27.86
Adam LaRoche,PIT,First Baseman,75.0,180.0,29.32
Ryan Doumit,PIT,First Baseman,72.0,200.0,27.91
Brad Eldred,PIT,First Baseman,77.0,245.0,28.63
Jose Castillo,PIT,Second Baseman,73.0,200.0,27.95
Jack Wilson,PIT,Shortstop,72.0,192.0,31.17
Freddy Sanchez,PIT,Third Baseman,70.0,192.0,31.19
Jason Bay,PIT,Outfielder,74.0,200.0,30.44
Jose Bautista,PIT,Outfielder,72.0,192.0,28.36
Xavier Nady,PIT,Outfielder,74.0,205.0,30.29
Jody Gerut,PIT,Outfielder,72.0,190.0,31.45
Nate McLouth,PIT,Outfielder,71.0,186.0,27.34
Chris Duffy,PIT,Outfielder,70.0,170.0,28.86
Rajai Davis,PIT,Outfielder,71.0,197.0,28.36
Shane Youman,PIT,Starting Pitcher,76.0,219.0,29.39
Yoslan Herrera,PIT,Starting Pitcher,74.0,200.0,27.84
Josh Shortslef,PIT,Starting Pitcher,76.0,220.0,27.08
Zach Duke,PIT,Starting Pitcher,74.0,207.0,25.87
Paul Maholm,PIT,Starting Pitcher,74.0,225.0,26.68
Tom Gorzelanny,PIT,Starting Pitcher,74.0,207.0,26.64
Shawn Chacon,PIT,Starting Pitcher,75.0,212.0,31.19
Tony Armas Jr.,PIT,Starting Pitcher,75.0,225.0,30.84
Ian Snell,PIT,Starting Pitcher,71.0,170.0,27.33
Sean Burnett,PIT,Starting Pitcher,71.0,190.0,26.45
John Grabow,PIT,Relief Pitcher,74.0,210.0,30.32
Marty McLeary,PIT,Relief Pitcher,77.0,230.0,34.34
Salomon Torres,PIT,Relief Pitcher,71.0,210.0,36.97
Damaso Marte,PIT,Relief Pitcher,74.0,200.0,34.04
Matt Capps,PIT,Relief Pitcher,75.0,238.0,25.49
Josh Sharpless,PIT,Relief Pitcher,77.0,234.0,28.09
Bryan Bullington,PIT,Relief Pitcher,76.0,222.0,28.41
Jonah Bayliss,PIT,Relief Pitcher,74.0,200.0,28.55
Brian Rogers,PIT,Relief Pitcher,76.0,190.0,26.62
Juan Perez,PIT,Relief Pitcher,72.0,170.0,30.49
Bengie Molina,SF,Catcher,71.0,220.0,34.61
Eliezer Alfonzo,SF,Catcher,72.0,223.0,30.06
Lance Niekro,SF,First Baseman,75.0,210.0,30.08
Mark Sweeney,SF,First Baseman,73.0,215.0,39.34
Ray Durham,SF,Second Baseman,68.0,196.0,37.25
Kevin Frandsen,SF,Second Baseman,72.0,175.0,26.77
Omar Vizquel,SF,Shortstop,69.0,175.0,41.85
Rich Aurilia,SF,Third Baseman,73.0,189.0,37.49
Pedro Feliz,SF,Third Baseman,73.0,205.0,33.84
Todd Linden,SF,Outfielder,75.0,210.0,28.67
Dave Roberts,SF,Outfielder,70.0,180.0,36.75
Jason Ellison,SF,Outfielder,70.0,180.0,30.91
Randy Winn,SF,Outfielder,74.0,197.0,34.73
Ryan Klesko,SF,Outfielder,75.0,220.0,37.72
Barry Bonds,SF,Outfielder,74.0,228.0,44.6
Fred Lewis,SF,Outfielder,74.0,190.0,28.22
Kelyn Acosta,SF,Starting Pitcher,73.0,204.0,23.85
Jonathan Sanchez,SF,Starting Pitcher,74.0,165.0,26.28
Matt Cain,SF,Starting Pitcher,75.0,216.0,24.41
Matt Morris,SF,Starting Pitcher,77.0,220.0,34.56
Russ Ortiz,SF,Starting Pitcher,73.0,208.0,34.74
Noah Lowry,SF,Starting Pitcher,74.0,210.0,28.39
Barry Zito,SF,Starting Pitcher,76.0,215.0,30.8
Vinnie Chulk,SF,Relief Pitcher,74.0,195.0,30.2
Kevin Correia,SF,Relief Pitcher,75.0,200.0,28.52
Steve Kline,SF,Relief Pitcher,73.0,215.0,36.52
Armando Benitez,SF,Relief Pitcher,76.0,229.0,36.32
Scott Munter,SF,Relief Pitcher,78.0,240.0,28.98
Jack Taschner,SF,Relief Pitcher,75.0,207.0,30.86
Brian Wilson,SF,Relief Pitcher,73.0,205.0,26.96
Merkin Valdez,SF,Relief Pitcher,77.0,208.0,27.3
Brad Hennessey,SF,Relief Pitcher,74.0,185.0,29.06
Billy Sadler,SF,Relief Pitcher,72.0,190.0,27.44
Pat Misch,SF,Relief Pitcher,74.0,170.0,27.53
Gary Bennett,STL,Catcher,72.0,208.0,36.87
Yadier Molina,STL,Catcher,71.0,225.0,26.63
John Nelson,STL,First Baseman,73.0,190.0,29.99
Albert Pujols,STL,First Baseman,75.0,225.0,29.12
Adam Kennedy,STL,Second Baseman,73.0,185.0,33.14
Aaron Miles,STL,Second Baseman,67.0,180.0,32.21
David Eckstein,STL,Shortstop,67.0,165.0,34.11
Scott Rolen,STL,Third Baseman,76.0,240.0,33.91
Scott Spiezio,STL,Third Baseman,74.0,220.0,36.44
Jim Edmonds,STL,Outfielder,73.0,212.0,38.68
So Taguchi,STL,Outfielder,70.0,163.0,39.66
Juan Encarnacion,STL,Outfielder,75.0,215.0,32.980000000000004
Skip Schumaker,STL,Outfielder,70.0,175.0,29.07
John Rodriguez,STL,Outfielder,72.0,205.0,31.11
Chris Duncan,STL,Outfielder,77.0,210.0,27.82
Adam Wainwright,STL,Starting Pitcher,79.0,205.0,27.5
Mark Mulder,STL,Starting Pitcher,78.0,208.0,31.57
Anthony Reyes,STL,Starting Pitcher,74.0,215.0,27.37
Ryan Franklin,STL,Starting Pitcher,75.0,180.0,35.99
Kip Wells,STL,Starting Pitcher,75.0,200.0,31.86
Chris Carpenter,STL,Starting Pitcher,78.0,230.0,33.84
Russ Springer,STL,Relief Pitcher,76.0,211.0,40.31
Jason Isringhausen,STL,Relief Pitcher,75.0,230.0,36.48
Ricardo Rincon,STL,Relief Pitcher,69.0,190.0,38.88
Braden Looper,STL,Relief Pitcher,75.0,220.0,34.34
Randy Flores,STL,Relief Pitcher,72.0,180.0,33.58
Josh Hancock,STL,Relief Pitcher,75.0,205.0,30.89
Brad Thompson,STL,Relief Pitcher,73.0,190.0,27.08
Tyler Johnson,STL,Relief Pitcher,74.0,180.0,27.73
Chris Narveson,STL,Relief Pitcher,75.0,205.0,27.19
Randy Keisler,STL,Relief Pitcher,75.0,190.0,33.010000000000005
Josh Kinney,STL,Relief Pitcher,73.0,195.0,29.92
